timestamp,actual,sarima,sarima_lower_95,sarima_upper_95
2019-06-06,51.95232142857143,56.27870408539399,-10424025.901701164,10424138.459109336
2019-06-13,54.66170833333333,56.115314451602316,-10754249.734927993,10754361.965556897
2019-06-20,53.20418452380952,55.88514937902728,-11087638.807439769,11087750.577738525
2019-06-27,55.50452976190476,55.98087173138885,-11424170.427772893,11424282.389516355
2019-07-04,54.44921428571429,55.57667521789807,-11763823.143622307,11763934.296972742
2019-07-11,53.64996428571428,54.839939202104844,-12106574.584940197,12106684.2648186
2019-07-18,53.69526785714286,55.056870967509816,-12452401.383447642,12452511.497189576
2019-07-25,54.00720833333333,55.54181400641283,-12801282.300438972,12801393.384066986
2019-08-01,51.43482142857143,55.547796281011784,-13153196.346596679,13153307.44218924
2019-08-08,51.950178571428566,54.63473124099826,-13508122.438478632,13508231.707941113
2019-08-15,51.43144642857143,55.125973743993804,-13866036.96187205,13866147.21381954
2019-08-22,53.17341071428572,55.42561570986309,-14226920.470379608,14227031.321611026
2019-08-29,52.932648809523805,55.25113834762506,-14590752.465250341,14590862.967527037
2019-09-05,52.8212380952381,55.60155942320263,-14957511.436846483,14957622.63996533
2019-09-12,53.470482142857136,55.63134029515392,-15327177.99792784,15327289.260608431
2019-09-19,53.87153571428571,56.219145662876365,-15699731.320038117,15699843.758329444
2019-09-26,55.04417261904762,55.38422364189674,-16075153.720544875,16075264.488992158
2019-10-03,52.514744047619054,56.188785983713046,-16514231.770141996,16514344.147713963
2019-10-10,56.06342261904762,56.05350067075473,-16968229.952199392,16968342.059200734
2019-10-17,56.2455119047619,56.28474937751682,-17431485.47641272,17431598.045911476
2019-10-24,56.78088690476191,55.56179943222466,-17901369.491991505,17901480.61559037
2019-10-31,55.05027380952381,56.381940322003416,-18377212.358883724,18377325.12276437
2019-11-07,59.14056547619048,56.77441384360086,-18858748.986107863,18858862.53493555
2019-11-14,59.159779761904765,56.97058156686774,-19345840.39446668,19345954.33562981
2019-11-21,59.912059523809525,57.16427331327179,-19838383.67344605,19838498.00199268
2019-11-28,59.80317857142857,57.38824933213919,-20336289.159267135,20336403.935765803
2019-12-05,61.689059523809526,57.54138682537262,-20839473.727466468,20839588.810240116
2019-12-12,59.74446428571429,57.14325520917841,-21347859.07369168,21347973.360202096
2019-12-19,50.65291071428572,54.7704503433388,-21861371.56543459,21861481.106335275
2019-12-26,46.57266071428572,54.90259333991037,-22379935.040513437,22380044.84570012
2020-01-02,56.21391666666667,56.54200852112748,-22903481.940009896,22903595.02402694
2020-01-09,60.41160714285714,57.048059843876736,-23431949.26719874,23432063.36331843
2020-01-16,60.31816071428571,57.00003784043083,-23965273.539366305,23965387.539441988
2020-01-23,61.279678571428576,56.82456802514417,-24503393.990531,24503507.639667053
2020-01-30,60.40735119047618,56.9155603823614,-25046252.294649664,25046366.12577043
2020-02-06,60.568398809523806,56.962725902055325,-25593793.09192657,25593907.01737838
2020-02-13,60.228547619047625,56.88851173867814,-26145962.917352796,26146076.694376275
2020-02-20,59.077958333333335,57.25420929260271,-26702709.669844307,26702824.17826289
2020-02-27,58.95033928571428,57.02220009393169,-27263984.734224476,27264098.77862466
2020-03-05,58.91609523809524,56.51793163345357,-27829739.911738455,27829852.94760172
2020-03-12,56.96972023809524,57.19327480729388,-28399927.556788016,28400041.94333763
2020-03-19,54.4246011904762,56.534834821294645,-28974505.575710606,28974618.645380247
2020-03-26,53.30305357142858,54.99694243546359,-29553430.407321878,29553540.401206747
2020-04-02,51.200857142857146,55.92522080137548,-30136657.01881893,30136768.869260535
2020-04-09,45.27698214285714,55.61774681454093,-30724148.769560646,30724260.005054276
2020-04-16,49.765482142857145,55.542719532414935,-31315865.123386733,31315976.208825797
2020-04-23,50.07677976190476,55.035974875351734,-31911768.885746222,31911878.957695972
2020-04-30,48.23919047619048,55.650489398548,-32511821.79313535,32511933.094114143
2020-05-07,50.1552380952381,55.08071224956571,-33115990.531678118,33116100.69310262
2020-05-14,50.059333333333335,55.09388072167803,-33724238.75239405,33724348.94015549
2020-05-21,47.76384523809524,55.741409445037355,-34336532.80978767,34336644.292606555
2020-05-28,47.621232142857146,55.24853254143081,-34952841.82532796,34952952.322393045
2020-06-04,50.509142857142855,55.82465154457399,-35573131.833133176,35573243.48243627
2020-06-11,48.34847619047619,55.741410184190165,-36197373.660627015,36197485.14344738
2020-06-18,49.93173214285715,55.62677428251457,-36825536.59569255,36825647.849241115
2020-06-25,51.03688690476191,55.66535468918605,-37457591.14990614,37457702.48061553
2020-07-02,51.615029761904765,55.468897726392115,-38093509.153761595,38093620.091557056
2020-07-09,50.864625,55.11609697422898,-38733262.68457871,38733372.916772656
2020-07-16,50.6185,55.21166411123239,-39376823.977018386,39376934.40034661
2020-07-23,50.42470238095238,55.43323702439841,-40024166.84749713,40024277.713971175
2020-07-30,49.11565476190477,55.42962604111908,-40675265.76888109,40675376.62813317
2020-08-06,51.43091666666667,54.99392401668153,-41330095.67182413,41330205.659672156
2020-08-13,51.5311130952381,55.21845862937619,-41988630.765670426,41988741.20258769
2020-08-20,52.26697023809524,55.3529120522811,-42650847.65750273,42650958.36332684
2020-08-27,51.34003571428572,55.264457784952995,-43316722.870400146,43316833.399315715
2020-09-03,51.67822023809524,55.42278505856623,-43986232.83795489,43986343.68352501
2020-09-10,51.62555952380952,55.43036301033363,-44659355.35462211,44659466.215348125
2020-09-17,52.42595833333333,55.70029675329467,-45336067.87948162,45336179.280075125
2020-09-24,54.16725,55.301333749707034,-46016349.67379014,46016460.27645764
