p,d,q,P,D,Q,seasonal_period,aic,bic,log_likelihood,converged,status,error
3,1,4,1,0,1,52,4997.4170986329555,5026.689635484528,-2488.7085493164777,False,not_converged,
6,0,3,1,0,1,52,4997.8565970603995,5032.983641282286,-2486.9282985301998,False,not_converged,
2,2,2,1,0,1,52,5025.260632959125,5045.80195049104,-2505.6303164795627,False,not_converged,
5,0,0,1,0,1,52,5030.616038454402,5054.091829919447,-2507.308019227201,False,not_converged,
4,2,5,1,0,1,52,5034.08595219621,5069.0378108250425,-2505.042976098105,False,not_converged,
5,2,1,1,0,1,52,5046.435639793501,5072.7154681259535,-2514.2178198967504,False,not_converged,
3,0,3,1,0,1,52,5054.896891321101,5081.371673124585,-2518.4484456605505,False,not_converged,
0,2,1,1,0,1,52,5061.720884658609,5073.487454349046,-2526.8604423293045,False,not_converged,
2,1,1,1,0,1,52,5068.123229751483,5085.815789093753,-2528.0616148757417,False,not_converged,
1,1,6,1,0,1,52,5073.940294162041,5103.066843019402,-2526.9701470810205,False,not_converged,
0,2,4,1,0,1,52,5091.853873470172,5112.293739950969,-2538.926936735086,False,not_converged,
2,0,0,1,0,1,52,5095.588063820182,5110.367199108188,-2542.794031910091,False,not_converged,
3,0,0,1,0,1,52,5103.341449285534,5121.034008627803,-2545.670724642767,False,not_converged,
3,0,2,1,0,1,52,5119.75619376645,5143.346272889476,-2551.878096883225,False,not_converged,
1,0,3,1,0,1,52,5160.727647688927,5181.319144647193,-2573.3638238444637,False,not_converged,
2,2,6,1,0,1,52,5163.905818548348,5195.863841111171,-2570.952909274174,False,not_converged,
3,0,1,1,0,1,52,5173.008569818435,5193.649889051082,-2579.5042849092174,False,not_converged,
4,1,3,1,0,1,52,5204.627725000709,5233.972464332016,-2592.3138625003544,False,not_converged,
0,1,6,1,0,1,52,5207.1047022826315,5233.318596254256,-2594.5523511413157,False,not_converged,
3,1,5,1,0,1,52,5209.590910679441,5241.71070086355,-2593.7954553397203,False,not_converged,
4,1,1,1,0,1,52,5228.118082313931,5251.593873778977,-2606.0590411569656,False,not_converged,
2,1,2,1,0,1,52,5259.129686963043,5279.721183921309,-2622.5648434815216,False,not_converged,
0,1,0,1,0,1,52,5270.935304756359,5279.802785929163,-2632.4676523781795,False,not_converged,
1,0,0,1,0,1,52,5289.535946054617,5301.387324575657,-2640.7679730273085,False,not_converged,
2,1,3,1,0,1,52,5294.44066869501,5317.916460160055,-2639.220334347505,False,not_converged,
4,1,0,1,0,1,52,5300.485435054654,5321.026752586568,-2643.242717527327,False,not_converged,
4,1,2,1,0,1,52,5310.953255847195,5337.363521245371,-2646.4766279235973,False,not_converged,
0,1,1,1,0,1,52,5333.624542868925,5345.419582430438,-2662.8122714344627,False,not_converged,
2,1,0,1,0,1,52,5337.277799197902,5352.021598649792,-2663.638899598951,False,not_converged,
6,1,1,1,0,1,52,5339.040774807843,5368.240584066125,-2659.5203874039216,False,not_converged,
1,1,0,1,0,1,52,5339.3428282793575,5351.1661365097625,-2665.6714141396787,False,not_converged,
5,1,2,1,0,1,52,5375.671347102298,5404.94388395387,-2677.835673551149,False,not_converged,
4,1,6,1,0,1,52,5392.84458369102,5430.7090972055885,-2683.42229184551,False,not_converged,
0,1,3,1,0,1,52,5411.887847150792,5429.494690749577,-2699.943923575396,False,not_converged,
0,1,2,1,0,1,52,5441.793834892909,5456.502047005955,-2715.8969174464546,False,not_converged,
5,0,1,1,0,1,52,5458.559601338259,5484.9698667364355,-2720.2798006691296,False,not_converged,
3,0,6,1,0,1,52,5603.143026062709,5638.182797172647,-2789.5715130313547,False,not_converged,
5,0,3,1,0,1,52,5628.644196595232,5660.923409859669,-2803.322098297616,False,not_converged,
2,0,2,1,0,1,52,5638.955562401055,5659.596881633703,-2812.4777812005277,False,not_converged,
6,1,2,1,0,1,52,5659.478893622278,5691.598683806387,-2818.739446811139,False,not_converged,
1,1,2,1,0,1,52,5667.293602362916,5684.943456898573,-2827.646801181458,False,not_converged,
1,1,3,1,0,1,52,5757.272135325953,5777.813452857868,-2871.6360676629765,False,not_converged,
2,2,0,1,0,1,52,5765.12795797428,5779.8361700873265,-2877.56397898714,False,not_converged,
1,2,6,1,0,1,52,5820.08560281143,5849.138350595815,-2900.042801405715,False,not_converged,
6,0,4,1,0,1,52,5887.055469391301,5925.109767298344,-2930.5277346956505,False,not_converged,
0,1,5,1,0,1,52,5979.689633060867,6003.049480467492,-2981.8448165304335,False,not_converged,
2,1,6,1,0,1,52,5983.284224179199,6015.323427922295,-2980.6421120895993,False,not_converged,
1,0,4,1,0,1,52,6005.708448289139,6029.184239754184,-2994.8542241445693,False,not_converged,
6,1,6,1,0,1,52,6067.127381265332,6110.817204551373,-3018.563690632666,False,not_converged,
0,1,4,1,0,1,52,6068.537164420522,6089.027940216622,-3027.268582210261,False,not_converged,
1,0,5,1,0,1,52,6089.559869519942,6115.905152686357,-3035.779934759971,False,not_converged,
3,1,0,1,0,1,52,6154.047230476534,6171.697085012191,-3071.023615238267,False,not_converged,
5,1,6,1,0,1,52,6168.278163457807,6209.0553318581115,-3070.1390817289034,False,not_converged,
5,1,0,1,0,1,52,6234.7425684178,6258.160597899057,-3109.3712842089,False,not_converged,
3,1,6,1,0,1,52,6257.476189704054,6292.428048332887,-3116.738094852027,False,not_converged,
4,2,2,1,0,1,52,6317.518975821193,6343.864258987607,-3149.7594879105964,False,not_converged,
1,1,5,1,0,1,52,6443.992536921327,6470.27236525378,-3212.9962684606635,False,not_converged,
4,1,5,1,0,1,52,6640.454291372559,6675.494062482497,-3308.2271456862795,False,not_converged,
0,2,6,1,0,1,52,7795.971460910652,7822.1189339165985,-3888.985730455326,False,not_converged,
6,2,5,1,0,1,52,8038.7706159596455,8079.54778435995,-4005.3853079798228,False,not_converged,
5,2,5,1,0,1,52,8159.795917103319,8197.660430617887,-4066.8979585516595,False,not_converged,
0,0,3,1,0,1,52,8616.656054169955,8634.30590870561,-4302.328027084977,False,not_converged,
0,0,4,1,0,1,52,8793.276452748214,8813.81777028013,-4389.638226374107,False,not_converged,
0,0,2,1,0,1,52,9173.154453309118,9187.89825276101,-4581.577226654559,False,not_converged,
0,0,1,1,0,1,52,9625.258849934515,9637.08215816492,-4808.629424967257,False,not_converged,
